Type,ID,Description,Count,Percentage
CWE_ID,CWE-347,CWE-347,36,6.728971962616822
CWE_ID,CWE-306,Missing Authentication for Critical Function,25,4.672897196261682
CWE_ID,CWE-345,CWE-345,22,4.112149532710281
CWE_ID,CWE-78,Improper Neutralization of Special Elements used in an OS Command,22,4.112149532710281
CWE_ID,CWE-494,CWE-494,20,3.7383177570093453
CWE_ID,CWE-20,Improper Input Validation,17,3.177570093457944
CWE_ID,CWE-427,CWE-427,15,2.803738317757009
CWE_ID,CWE-863,Incorrect Authorization,15,2.803738317757009
CWE_ID,CWE-295,CWE-295,14,2.6168224299065423
CWE_ID,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,14,2.6168224299065423
CWE_ID,CWE-284,CWE-284,14,2.6168224299065423
CWE_ID,CWE-22,Improper Limitation of a Pathname to a Restricted Directory,13,2.4299065420560746
CWE_ID,CWE-77,CWE-77,12,2.2429906542056073
CWE_ID,CWE-354,CWE-354,11,2.0560747663551404
CWE_ID,CWE-434,Unrestricted Upload of File with Dangerous Type,11,2.0560747663551404
CWE_ID,CWE-823,CWE-823,10,1.8691588785046727
CWE_ID,CWE-367,CWE-367,9,1.6822429906542056
CWE_ID,CWE-319,CWE-319,9,1.6822429906542056
CWE_ID,CWE-121,CWE-121,8,1.4953271028037385
CWE_ID,CWE-352,Cross-Site Request Forgery,8,1.4953271028037385
CWE_ID,CWE-94,Improper Control of Generation of Code,8,1.4953271028037385
CWE_ID,CWE-862,Missing Authorization,8,1.4953271028037385
CWE_ID,CWE-378,CWE-378,7,1.3084112149532712
CWE_ID,CWE-120,CWE-120,6,1.1214953271028036
CWE_ID,CWE-787,Out-of-bounds Write,6,1.1214953271028036
CWE_ID,CWE-327,CWE-327,6,1.1214953271028036
CWE_ID,CWE-276,CWE-276,6,1.1214953271028036
CWE_ID,CWE-269,Improper Privilege Management,5,0.9345794392523363
CWE_ID,CWE-59,CWE-59,5,0.9345794392523363
CWE_ID,CWE-287,Improper Authentication,5,0.9345794392523363
CWE_ID,CWE-755,CWE-755,5,0.9345794392523363
CWE_ID,CWE-1328,CWE-1328,5,0.9345794392523363
CWE_ID,CWE-321,CWE-321,5,0.9345794392523363
CWE_ID,CWE-798,CWE-798,5,0.9345794392523363
CWE_ID,CWE-428,CWE-428,4,0.7476635514018692
CWE_ID,CWE-757,CWE-757,4,0.7476635514018692
CWE_ID,CWE-693,CWE-693,4,0.7476635514018692
CWE_ID,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,4,0.7476635514018692
CWE_ID,CWE-312,CWE-312,4,0.7476635514018692
CWE_ID,CWE-125,Out-of-bounds Read,3,0.5607476635514018
CWE_ID,CWE-89,Improper Neutralization of Special Elements used in an SQL Command,3,0.5607476635514018
CWE_ID,CWE-250,CWE-250,3,0.5607476635514018
CWE_ID,CWE-264,"Permissions, Privileges, and Access Controls",3,0.5607476635514018
CWE_ID,CWE-502,Deserialization of Untrusted Data,3,0.5607476635514018
CWE_ID,CWE-311,CWE-311,3,0.5607476635514018
CWE_ID,CWE-532,CWE-532,3,0.5607476635514018
CWE_ID,CWE-1386,CWE-1386,3,0.5607476635514018
CWE_ID,CWE-639,CWE-639,3,0.5607476635514018
CWE_ID,CWE-362,CWE-362,3,0.5607476635514018
CWE_ID,CWE-732,CWE-732,3,0.5607476635514018
CWE_ID,CWE-326,CWE-326,3,0.5607476635514018
CWE_ID,CWE-353,CWE-353,3,0.5607476635514018
CWE_ID,CWE-358,CWE-358,2,0.3738317757009346
CWE_ID,CWE-346,CWE-346,2,0.3738317757009346
CWE_ID,CWE-912,CWE-912,2,0.3738317757009346
CWE_ID,CWE-126,CWE-126,2,0.3738317757009346
