CWE_ID,Count,Percentage
CWE-347,36,6.73%
CWE-306,25,4.67%
CWE-345,22,4.11%
CWE-78,22,4.11%
CWE-494,20,3.74%
CWE-20,17,3.18%
CWE-427,15,2.80%
CWE-863,15,2.80%
CWE-295,14,2.62%
CWE-200,14,2.62%
CWE-284,14,2.62%
CWE-22,13,2.43%
CWE-77,12,2.24%
CWE-354,11,2.06%
CWE-434,11,2.06%
CWE-823,10,1.87%
CWE-367,9,1.68%
CWE-319,9,1.68%
CWE-121,8,1.50%
CWE-352,8,1.50%
CWE-94,8,1.50%
CWE-862,8,1.50%
CWE-378,7,1.31%
CWE-120,6,1.12%
CWE-787,6,1.12%
CWE-327,6,1.12%
CWE-276,6,1.12%
CWE-269,5,0.93%
CWE-59,5,0.93%
CWE-287,5,0.93%
CWE-755,5,0.93%
CWE-1328,5,0.93%
CWE-321,5,0.93%
CWE-798,5,0.93%
CWE-428,4,0.75%
CWE-757,4,0.75%
CWE-693,4,0.75%
CWE-119,4,0.75%
CWE-312,4,0.75%
CWE-125,3,0.56%
CWE-89,3,0.56%
CWE-250,3,0.56%
CWE-264,3,0.56%
CWE-502,3,0.56%
CWE-311,3,0.56%
CWE-532,3,0.56%
CWE-1386,3,0.56%
CWE-639,3,0.56%
CWE-362,3,0.56%
CWE-732,3,0.56%
CWE-326,3,0.56%
CWE-353,3,0.56%
CWE-358,2,0.37%
CWE-346,2,0.37%
CWE-912,2,0.37%
CWE-126,2,0.37%
CWE-275,2,0.37%
CWE-23,2,0.37%
CWE-285,2,0.37%
CWE-122,2,0.37%
CWE-79,2,0.37%
CWE-749,2,0.37%
CWE-522,2,0.37%
CWE-73,2,0.37%
CWE-918,2,0.37%
CWE-599,2,0.37%
CWE-300,2,0.37%
CWE-1244,1,0.19%
CWE-93,1,0.19%
CWE-61,1,0.19%
CWE-241,1,0.19%
CWE-1392,1,0.19%
CWE-601,1,0.19%
CWE-1284,1,0.19%
CWE-908,1,0.19%
CWE-476,1,0.19%
CWE-270,1,0.19%
CWE-470,1,0.19%
CWE-290,1,0.19%
CWE-407,1,0.19%
CWE-266,1,0.19%
CWE-249,1,0.19%
CWE-915,1,0.19%
CWE-922,1,0.19%
CWE-74,1,0.19%
CWE-256,1,0.19%
CWE-280,1,0.19%
CWE-281,1,0.19%
CWE-302,1,0.19%
CWE-552,1,0.19%
CWE-1240,1,0.19%
CWE-649,1,0.19%
CWE-497,1,0.19%
CWE-1391,1,0.19%
CWE-259,1,0.19%
CWE-255,1,0.19%
CWE-19,1,0.19%
CWE-1326,1,0.19%
CWE-114,1,0.19%
CWE-703,1,0.19%
CWE-1394,1,0.19%
CWE-424,1,0.19%
CWE-416,1,0.19%
CWE-277,1,0.19%
CWE-613,1,0.19%
CWE-425,1,0.19%
CWE-770,1,0.19%
CWE-489,1,0.19%
CWE-190,1,0.19%
CWE-379,1,0.19%
CWE-472,1,0.19%
CWE-95,1,0.19%
CWE-459,1,0.19%
CWE-305,1,0.19%
CWE-348,1,0.19%
CWE-1299,1,0.19%
CWE-88,1,0.19%
CWE-636,1,0.19%
CWE-310,1,0.19%
CWE-754,1,0.19%
CWE-331,1,0.19%
CWE-16,1,0.19%
CWE-130,1,0.19%
CWE-523,1,0.19%
CWE-400,1,0.19%
CWE-913,1,0.19%
SUMMARY STATISTICS,,
Total Unique CWE IDs,126,
Total CWE Occurrences,535,
