CWE_ID,Count,Percentage
CWE-79,21042,15.46%
CWE-89,9233,6.79%
CWE-352,4730,3.48%
CWE-862,4485,3.30%
CWE-787,3732,2.74%
CWE-20,3728,2.74%
CWE-125,3557,2.61%
CWE-22,3408,2.50%
CWE-284,3253,2.39%
CWE-74,3131,2.30%
CWE-200,3128,2.30%
CWE-416,3076,2.26%
CWE-78,2787,2.05%
CWE-94,2744,2.02%
CWE-121,2614,1.92%
CWE-120,2367,1.74%
CWE-434,2263,1.66%
CWE-119,2148,1.58%
CWE-400,1865,1.37%
CWE-77,1829,1.34%
CWE-122,1826,1.34%
CWE-476,1688,1.24%
CWE-502,1603,1.18%
CWE-863,1421,1.04%
CWE-287,1415,1.04%
CWE-269,1408,1.03%
CWE-918,1322,0.97%
CWE-306,1117,0.82%
CWE-190,967,0.71%
CWE-285,942,0.69%
CWE-770,877,0.64%
CWE-639,854,0.63%
CWE-276,813,0.60%
CWE-601,762,0.56%
CWE-427,713,0.52%
CWE-798,669,0.49%
CWE-98,667,0.49%
CWE-266,635,0.47%
CWE-532,634,0.47%
CWE-732,562,0.41%
CWE-362,552,0.41%
CWE-295,504,0.37%
CWE-611,500,0.37%
CWE-59,456,0.34%
CWE-843,455,0.33%
CWE-80,448,0.33%
CWE-522,443,0.33%
CWE-401,426,0.31%
CWE-404,421,0.31%
CWE-319,400,0.29%
CWE-126,396,0.29%
CWE-288,394,0.29%
CWE-347,352,0.26%
CWE-367,350,0.26%
CWE-290,350,0.26%
CWE-693,349,0.26%
CWE-23,349,0.26%
CWE-312,344,0.25%
CWE-307,316,0.23%
CWE-754,309,0.23%
CWE-73,300,0.22%
CWE-209,299,0.22%
CWE-613,288,0.21%
CWE-617,287,0.21%
CWE-311,286,0.21%
CWE-1333,280,0.21%
CWE-327,275,0.20%
CWE-264,271,0.20%
CWE-552,271,0.20%
CWE-250,265,0.19%
CWE-203,261,0.19%
CWE-922,259,0.19%
CWE-497,252,0.19%
CWE-345,236,0.17%
CWE-415,235,0.17%
CWE-835,233,0.17%
CWE-1321,229,0.17%
CWE-707,229,0.17%
CWE-321,226,0.17%
CWE-346,221,0.16%
CWE-201,219,0.16%
CWE-129,218,0.16%
CWE-426,217,0.16%
CWE-191,210,0.15%
CWE-755,197,0.14%
CWE-281,196,0.14%
CWE-908,196,0.14%
CWE-384,182,0.13%
CWE-824,178,0.13%
CWE-256,178,0.13%
CWE-116,174,0.13%
CWE-444,174,0.13%
CWE-822,163,0.12%
CWE-1021,162,0.12%
CWE-259,159,0.12%
CWE-248,159,0.12%
CWE-399,158,0.12%
CWE-668,158,0.12%
CWE-326,156,0.11%
CWE-359,155,0.11%
CWE-369,153,0.11%
CWE-428,148,0.11%
CWE-1236,145,0.11%
CWE-88,143,0.11%
CWE-788,143,0.11%
CWE-1284,142,0.10%
CWE-521,140,0.10%
CWE-665,136,0.10%
CWE-451,136,0.10%
CWE-35,134,0.10%
CWE-703,128,0.09%
CWE-674,127,0.09%
CWE-667,127,0.09%
CWE-749,127,0.09%
CWE-494,125,0.09%
CWE-640,122,0.09%
CWE-294,119,0.09%
CWE-280,118,0.09%
CWE-204,116,0.09%
CWE-305,114,0.08%
CWE-330,113,0.08%
CWE-457,111,0.08%
CWE-1287,109,0.08%
CWE-1336,108,0.08%
CWE-134,107,0.08%
CWE-1188,107,0.08%
CWE-680,102,0.07%
CWE-36,101,0.07%
CWE-61,99,0.07%
CWE-24,95,0.07%
CWE-95,94,0.07%
CWE-829,92,0.07%
CWE-131,89,0.07%
CWE-425,88,0.06%
CWE-602,88,0.06%
CWE-117,86,0.06%
CWE-208,85,0.06%
CWE-338,85,0.06%
CWE-823,84,0.06%
CWE-358,82,0.06%
CWE-789,77,0.06%
CWE-591,77,0.06%
CWE-926,75,0.06%
CWE-1392,74,0.05%
CWE-506,73,0.05%
CWE-252,72,0.05%
CWE-670,72,0.05%
CWE-354,72,0.05%
CWE-489,71,0.05%
CWE-459,70,0.05%
CWE-303,70,0.05%
CWE-377,70,0.05%
CWE-610,69,0.05%
CWE-840,69,0.05%
