cve_id,description,vendor,product,rule_based_label,svm_label,svm_confidence,final_label
CVE-2022-32259,A vulnerability has been identified in SINEMA Remote Connect Server (All versions < V3.1). The system images for installation or update of the affected application contain unit test scripts with sensi,Siemens,Sinema Remote Connect Server,SCADA,SCADA,0.0,SCADA
CVE-2019-4640,"IBM Security Secret Server 10.7 processes patches, image backups and other updates without sufficiently verifying the origin and integrity of the code which could result in an attacker executing malic",Ibm,Security Secret Server,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-38101,Uncontrolled search path in some Intel(R) NUC Chaco Canyon BIOS update software before version iFlashV Windows 5.13.00.2105 may allow an authenticated user to potentially enable escalation of privileg,N/A,Intel(R) Nuc Chaco Canyon Bios Update Software,PC,PC,0.0,PC
CVE-2019-1880,"A vulnerability in the BIOS upgrade utility of Cisco Unified Computing System (UCS) C-Series Rack Servers could allow an authenticated, local attacker to install compromised BIOS firmware on an affect",Cisco,Cisco Unified Computing System (Managed),Enterprise,Enterprise,0.0,Enterprise
CVE-2022-38625,Patlite NH-FB v1.46 and below was discovered to contain insufficient firmware validation during the upgrade firmware file upload process. This vulnerability allows authenticated attackers to create an,N/A,N/A,Other,Other,0.0,Other
CVE-2023-45779,"In the APEX module framework of AOSP, there is a possible malicious update to platform components due to improperly used crypto. This could lead to local escalation of privilege with no additional exe",Google,Android,Home,Home,0.0,Home
CVE-2020-0996,"An elevation of privilege vulnerability exists when the Windows Update Stack fails to properly handle objects in memory, aka 'Windows Update Stack Elevation of Privilege Vulnerability'. This CVE ID is",Microsoft,Windows,PC,PC,0.0,PC
CVE-2018-19234,The Miss Marple Updater Service in COMPAREX Miss Marple Enterprise Edition before 2.0 allows remote attackers to execute arbitrary code with SYSTEM privileges via vectors related to missing update val,N/A,N/A,Other,Other,0.0,Other
CVE-2020-2032,A race condition vulnerability Palo Alto Networks GlobalProtect app on Windows allows a local limited Windows user to execute programs with SYSTEM privileges. This issue can be exploited only while pe,Palo Alto Networks,Globalprotect App,PC,PC,0.0,PC
CVE-2017-8665,"The Xamarin.iOS update component on systems running macOS allows an attacker to run arbitrary code as root, aka ""Xamarin.iOS Elevation Of Privilege Vulnerability.""",Microsoft Corporation,Xamarin.Ios,Enterprise,Enterprise,0.0,Enterprise
CVE-2022-25291,An integer overflow in WatchGuard Firebox and XTM appliances allows an authenticated remote attacker to trigger a heap-based buffer overflow and potentially execute arbitrary code by initiating a firm,N/A,N/A,Other,Other,0.0,Other
CVE-2021-36021,"Magento versions 2.4.2 (and earlier), 2.4.2-p1 (and earlier) and 2.3.7 (and earlier) are affected by an Improper input validation vulnerability within the CMS page scheduled update feature. An authent",Adobe,Adobe Commerce,Other,Other,0.0,Other
