File,Rule-based,NLP-based,Match
CVE-2019-1880.json,E (Enterprise),SCADA,DIFFER
CVE-2022-38625.json,Unknown,SCADA,DIFFER
CVE-2022-25291.json,Unknown,SCADA,DIFFER
CVE-2021-28191.json,H (Home),SCADA,DIFFER
CVE-2020-10831.json,M (Mobile),Mobile,MATCH
CVE-2021-33090.json,Unknown,SCADA,DIFFER
CVE-2021-46442.json,H (Home),SCADA,DIFFER
CVE-2019-7229.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2023-35749.json,H (Home),SCADA,DIFFER
CVE-2017-9316.json,P (PC/Server),SCADA,DIFFER
CVE-2019-16243.json,M (Mobile),SCADA,DIFFER
CVE-2023-35747.json,H (Home),SCADA,DIFFER
CVE-2016-9369.json,E (Enterprise),SCADA,DIFFER
CVE-2018-7240.json,Unknown,SCADA,DIFFER
CVE-2018-6442.json,Unknown,SCADA,DIFFER
CVE-2017-2883.json,E (Enterprise),Mobile,DIFFER
CVE-2018-18600.json,Unknown,SCADA,DIFFER
CVE-2020-27692.json,E (Enterprise),SCADA,DIFFER
CVE-2023-32658.json,Unknown,SCADA,DIFFER
CVE-2022-26510.json,H (Home),SCADA,DIFFER
CVE-2021-20156.json,E (Enterprise),SCADA,DIFFER
CVE-2019-5159.json,Unknown,SCADA,DIFFER
CVE-2022-3093.json,S (SCADA/Industrial),Mobile,DIFFER
CVE-2021-27251.json,E (Enterprise),SCADA,DIFFER
CVE-2022-25293.json,Unknown,SCADA,DIFFER
CVE-2020-35782.json,Unknown,SCADA,DIFFER
CVE-2023-23772.json,Unknown,SCADA,DIFFER
CVE-2022-0910.json,E (Enterprise),SCADA,DIFFER
CVE-2017-2882.json,E (Enterprise),Mobile,DIFFER
CVE-2018-8855.json,H (Home),SCADA,DIFFER
CVE-2020-24525.json,Unknown,SCADA,DIFFER
CVE-2016-5645.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2017-2898.json,E (Enterprise),Mobile,DIFFER
